year,extent,area
1979,7.05,4.58
1980,7.67,4.87
1981,7.14,4.44
1982,7.3,4.43
1983,7.39,4.7
1984,6.81,4.11
1985,6.7,4.23
1986,7.41,4.72
1987,7.28,5.64
1988,7.37,5.36
1989,7.01,4.86
1990,6.14,4.55
1991,6.47,4.51
1992,7.47,5.43
1993,6.4,4.58
1994,7.14,5.13
1995,6.08,4.43
1996,7.58,5.62
1997,6.69,4.89
1998,6.54,4.3
1999,6.12,4.29
2000,6.25,4.35
2001,6.73,4.59
2002,5.83,4.03
2003,6.12,4.05
2004,5.98,4.39
2005,5.5,4.07
2006,5.86,4.01
2007,4.27,2.82
2008,4.69,3.26
2009,5.26,3.76
2010,4.87,3.34
2011,4.56,3.21
2012,3.57,2.41
2013,5.21,3.78
2014,5.22,3.74
2015,4.62,3.42
2016,4.53,2.91
2017,4.82,3.35
2018,4.79,3.35
2019,4.32,3.13
