,year,n2o
0,Mar-21,334.85
1,Mar-21,334.85
2,Jul-20,334.13
3,Sep-19,332.83
4,Nov-18,332
5,Jan-18,331.07
6,Mar-17,330.25
7,May-16,329.37
8,Jul-15,327.96
9,Sep-14,327.35
10,Nov-13,326.31
11,Dec-12,325.42
12,Feb-12,324.85
13,Apr-11,323.97
14,Jun-10,322.95
15,Aug-09,322.23
16,Oct-08,321.86
17,Dec-07,321.22
18,Feb-07,320.55
19,Apr-06,319.81
20,Jun-05,318.8
21,Aug-04,318.14
22,Oct-03,317.92
23,Dec-02,317.27
24,Feb-02,317.01
25,Apr-01,316.11
26,Jun-00,315.54
27,Aug-99,314.52
28,Oct-98,313.93
29,Dec-97,313.19
30,Feb-97,312.47
31,Apr-96,311.47
32,Jun-95,310.95
33,Jul-94,310.82
34,Sep-93,310.15
35,Nov-92,309.94
36,Jan-92,309.99
37,Mar-91,309.53
38,May-90,308.19
39,Jul-89,307.66
40,Sep-88,306.51
41,Nov-87,306.52
42,Jan-87,306.4
43,Mar-86,305.83
44,May-85,304.75
45,Jul-84,304.7
46,Sep-83,304.06
47,Nov-82,303.42
48,Jan-82,302.03
49,Mar-81,301.82
50,May-80,300.89
51,Jul-79,300.85
52,Sep-78,299.8
53,"November 2, 1977",299.09
54,"November 2, 1977",299.09
55,Year 1976,299.9
56,Year 1975,299.1
57,Year 1974,298.4
58,Year 1974,298.4
59,Year 1973,297.7
60,Year 1972,297
61,Year 1971,296.2
62,Year 1970,295.2
63,Year 1969,294.3
64,Year 1969,294.3
65,Year 1968,293.6
66,Year 1967,293.1
67,Year 1966,292.8
68,Year 1965,292.7
69,Year 1964,292.7
70,Year 1964,292.7
71,Year 1963,292.6
72,Year 1962,292.5
73,Year 1961,292.4
74,Year 1960,292.3
75,Year 1959,292.2
76,Year 1959,292.2
77,Year 1958,291.9
78,Year 1957,291.4
79,Year 1956,290.6
80,Year 1955,289.6
81,Year 1954,288.7
82,Year 1954,288.7
83,Year 1953,288
84,Year 1952,287.7
85,Year 1951,287.6
86,Year 1950,287.7
87,Year 1949,287.9
88,Year 1948,287.9
89,Year 1948,287.9
90,Year 1947,287.9
91,Year 1946,287.8
92,Year 1945,287.9
93,Year 1944,288
94,Year 1943,288.2
95,Year 1943,288.2
96,Year 1942,288.3
97,Year 1941,288.1
98,Year 1940,287.7
99,Year 1939,287.3
100,Year 1938,286.9
101,Year 1938,286.9
102,Year 1937,286.8
103,Year 1936,286.9
104,Year 1935,286.8
105,Year 1934,286.5
106,Year 1933,286.1
107,Year 1933,286.1
108,Year 1932,285.8
109,Year 1931,285.4
110,Year 1930,285
111,Year 1929,284.6
112,Year 1928,284.2
113,Year 1928,284.2
114,Year 1927,283.9
115,Year 1926,283.9
116,Year 1925,284.2
117,Year 1924,284.6
118,Year 1923,285
119,Year 1923,285
120,Year 1922,285.2
121,Year 1921,285.3
122,Year 1920,285.2
123,Year 1919,284.9
124,Year 1918,284.4
125,Year 1918,284.4
126,Year 1917,283.8
127,Year 1916,283.2
128,Year 1915,282.7
129,Year 1914,282.2
130,Year 1913,281.8
131,Year 1912,281.4
132,Year 1912,281.4
133,Year 1911,281.1
134,Year 1910,280.8
135,Year 1909,280.5
136,Year 1908,280.2
137,Year 1907,280
138,Year 1907,280
139,Year 1906,279.6
140,Year 1905,279.3
141,Year 1904,278.8
142,Year 1903,278.3
143,Year 1902,277.8
144,Year 1902,277.8
145,Year 1901,277.4
146,Year 1900,277.2
147,Year 1899,277.1
148,Year 1898,277.1
149,Year 1897,277.3
150,Year 1897,277.3
151,Year 1896,277.5
152,Year 1895,277.8
153,Year 1894,278
154,Year 1893,278.1
155,Year 1892,278.2
156,Year 1892,278.2
157,Year 1891,278.3
158,Year 1890,278.3
159,Year 1889,278.2
160,Year 1888,278.1
161,Year 1887,277.9
162,Year 1887,277.9
163,Year 1886,277.5
164,Year 1885,277.2
165,Year 1884,276.8
166,Year 1883,276.4
167,Year 1882,276.2
168,Year 1881,276
169,Year 1881,276
170,Year 1880,275.8
171,Year 1879,275.7
172,Year 1878,275.5
173,Year 1877,275.3
174,Year 1876,275
175,Year 1876,275
176,Year 1875,274.7
177,Year 1874,274.3
178,Year 1873,274
179,Year 1872,273.6
180,Year 1871,273.3
181,Year 1871,273.3
182,Year 1870,273
183,Year 1869,272.8
184,Year 1868,272.6
185,Year 1867,272.5
186,Year 1866,272.4
187,Year 1866,272.4
188,Year 1865,272.3
189,Year 1864,272.2
190,Year 1863,272.1
191,Year 1862,272
192,Year 1861,271.9
193,Year 1861,271.9
194,Year 1860,271.7
195,Year 1859,271.5
196,Year 1858,271.2
197,Year 1857,271
198,Year 1856,270.8
199,Year 1856,270.8
200,Year 1855,270.6
201,Year 1854,270.5
202,Year 1853,270.4
203,Year 1852,270.4
204,Year 1851,270.4
205,Year 1851,270.4
206,Year 1850,270.4
207,Year 1849,270.4
208,Year 1848,270.4
209,Year 1847,270.4
210,Year 1846,270.4
211,Year 1845,270.3
212,Year 1845,270.3
213,Year 1844,270.3
214,Year 1843,270.2
