,year,sealevel
0,Aug-17,21.1
1,Oct-16,20.8
2,Dec-15,20.8
3,Feb-15,20.6
4,Apr-14,19.6
5,Jun-13,19.3
6,Aug-12,18.9
7,Oct-11,18.5
8,Dec-10,17.6
9,Feb-10,18.4
10,Apr-09,17.9
11,Jun-08,17.6
12,Aug-07,17
13,Oct-06,17.4
14,Dec-05,17.4
15,Feb-05,16.9
16,Apr-04,16.7
17,Jun-03,16.2
18,Aug-02,16
19,Oct-01,15.3
20,Dec-00,15
21,Feb-00,15.1
22,Apr-99,14.7
23,Jun-98,14.5
24,Aug-97,14.9
25,Oct-96,14.8
26,Dec-95,14.5
27,Feb-95,14.1
28,Apr-94,14
29,Jun-93,13.7
30,Aug-92,13.1
31,Oct-91,13.4
32,Dec-90,13.2
33,Feb-90,12.7
34,Apr-89,12.8
35,Jun-88,12.3
36,Aug-87,11.6
37,Oct-86,11.6
38,Dec-85,11.8
39,Feb-85,12
40,Apr-84,12.8
41,Jun-83,13.6
42,"August 16, 1982",11.6
43,"October 15, 1981",12.8
44,"December 16, 1980",12
45,"February 15, 1980",11.6
46,"April 16, 1979",10.4
47,"June 16, 1978",11.1
48,"August 16, 1977",10.5
49,"October 16, 1976",10.7
50,"December 15, 1975",10.7
51,"February 15, 1975",11
52,"April 16, 1974",11.3
53,"June 16, 1973",9.7
54,"August 16, 1972",10.7
55,"October 15, 1971",9.6
56,"December 15, 1970",9.3
57,"February 15, 1970",9.2
58,"April 16, 1969",9.3
59,"June 16, 1968",7.5
60,"August 16, 1967",8.8
61,"October 15, 1966",8.2
62,"December 15, 1965",9
63,"February 15, 1965",9.1
64,"April 16, 1964",6.9
65,"July 16, 1963",8.3
66,"August 16, 1962",8.6
67,"November 15, 1961",8.5
68,"December 16, 1960",8.9
69,"February 15, 1960",8.5
70,"May 16, 1959",8
71,"July 16, 1958",8
72,"September 15, 1957",8
73,"October 16, 1956",6.3
74,Year 1956,7.1
75,"March 17, 1955",7.8
76,"May 16, 1954",7.1
77,"July 16, 1953",7.8
78,"September 16, 1952",7.1
79,"November 15, 1951",7
80,Year 1951,6.9
81,"March 17, 1950",5.9
82,"May 16, 1949",5.8
83,"July 17, 1948",6.2
84,"September 15, 1947",6.1
85,"November 15, 1946",4.9
86,Year 1946,4.8
87,"March 17, 1945",4.5
88,"May 17, 1944",4.4
89,"July 16, 1943",4.8
90,"September 15, 1942",5.6
91,"November 15, 1941",4.6
92,Year 1941,4.6
93,"March 17, 1940",3.9
94,"May 16, 1939",4.6
95,"July 16, 1938",2.9
96,"September 15, 1937",3.6
97,"November 16, 1936",2.9
98,Year 1936,3.3
99,"March 17, 1935",3.7
100,"May 16, 1934",3.1
101,"July 16, 1933",3.1
102,"September 16, 1932",3
103,"November 15, 1931",2
104,Year 1931,2.3
105,"March 17, 1930",1.8
106,"May 16, 1929",2
107,"July 17, 1928",2.4
108,"September 15, 1927",2
109,"November 15, 1926",2.4
110,Year 1926,1.9
111,"March 17, 1925",1.7
112,"May 17, 1924",1.5
113,"July 16, 1923",2.2
114,"September 15, 1922",1.4
115,"November 15, 1921",1.6
116,Year 1921,2
117,"March 17, 1920",1.4
118,"May 16, 1919",1.7
119,"July 16, 1918",1.8
120,"September 15, 1917",1.8
121,"November 16, 1916",2.6
122,Year 1916,2.6
123,"March 17, 1915",3.7
124,"May 16, 1914",1.3
125,"July 16, 1913",1.3
126,"September 16, 1912",1.1
127,"November 15, 1911",1.7
128,Year 1911,0.3
129,"March 17, 1910",0
130,"May 16, 1909",0.4
131,"July 17, 1908",0.3
132,"September 15, 1907",-0.2
133,"November 15, 1906",0.2
134,Year 1906,-0.2
135,"March 17, 1905",-1
136,"May 17, 1904",0.2
137,"July 16, 1903",1.4
138,"September 15, 1902",0.6
