,temperature,year
0, 0.88°C,Mar-21
1, 0.88°C,Mar-21
2, 0.88°C,Mar-21
3, 0.88°C,Mar-21
4, 0.88°C,Mar-21
5, 0.88°C,Mar-21
6, 0.88°C,Mar-21
7, 0.88°C,Mar-21
8, 0.88°C,Mar-21
9, 0.9°C,Jul-20
10, 0.93°C,Sep-19
11, 0.83°C,Nov-18
12, 0.82°C,Jan-18
13, 1.17°C,Mar-17
14, 0.96°C,May-16
15, 0.81°C,Jun-15
16, 0.82°C,Aug-14
17, 0.7°C,Oct-13
18, 0.53°C,Dec-12
19, 0.49°C,Feb-12
20, 0.65°C,Apr-11
21, 0.69°C,Jun-10
22, 0.68°C,Aug-09
23, 0.66°C,Oct-08
24, 0.5°C,Dec-07
25, 0.71°C,Feb-07
26, 0.49°C,Apr-06
27, 0.65°C,Jun-05
28, 0.48°C,Aug-04
29, 0.74°C,Oct-03
30, 0.43°C,Dec-02
31, 0.8°C,Feb-02
32, 0.51°C,Apr-01
33, 0.36°C,May-00
34, 0.39°C,Jul-99
35, 0.42°C,Sep-98
36, 0.64°C,Nov-97
37, 0.3°C,Jan-97
38, 0.33°C,Mar-96
39, 0.28°C,May-95
40, 0.3°C,Jul-94
41, 0.12°C,Sep-93
42, 0.03°C,Nov-92
43, 0.47°C,Jan-92
44, 0.35°C,Mar-91
45, 0.46°C,May-90
46, 0.34°C,Jul-89
47, 0.36°C,Sep-88
48, 0.29°C,Nov-87
49, 0.33°C,Jan-87
50, 0.3°C,Mar-86
51, 0.12°C,Apr-85
52, 0.02°C,Jun-84
53, 0.35°C,Aug-83
54, 0.13°C,Oct-82
55, 0.41°C,Dec-81
56, 0.42°C,Feb-81
57, 0.31°C,Apr-80
58, 0.14°C,Jun-79
59, -0.13°C,Aug-78
60, 0.03°C,Oct-77
61, 0.11°C,Dec-76
62, -0.06°C,Feb-76
63, 0.04°C,Apr-75
64, -0.05°C,Jun-74
65, 0.05°C,Aug-73
66, 0.08°C,Oct-72
67, -0.08°C,Dec-71
68, -0.03°C,Jan-71
69, 0.06°C,Mar-70
70, 0.18°C,May-69
71, -0.12°C,Jul-68
72, -0.05°C,Sep-67
73, -0.01°C,Nov-66
74, -0.19°C,Jan-66
75, -0.13°C,Mar-65
76, -0.25°C,May-64
77, 0.07°C,Jul-63
78, 0.02°C,Sep-62
79, 0.03°C,Nov-61
80, 0.07°C,Jan-61
81, -0.34°C,Mar-60
82, 0.05°C,May-59
83, 0.06°C,Jul-58
84, 0.07°C,Sep-57
85, -0.15°C,Nov-56
86, -0.13°C,Jan-56
87, -0.16°C,Feb-55
88, -0.14°C,Apr-54
89, 0.11°C,Jun-53
90, 0.05°C,Aug-52
91, 0.07°C,Oct-51
92, -0.22°C,Dec-50
93, -0.27°C,Feb-50
94, -0.11°C,Apr-49
95, -0.05°C,Jun-48
96, -0.07°C,Aug-47
97, -0.08°C,Oct-46
98, -0.07°C,Dec-45
99, 0°C,Feb-45
100, 0.19°C,Apr-44
101, -0.06°C,Jun-43
102, -0.04°C,Aug-42
103, 0.34°C,Oct-41
104, 0.31°C,Dec-40
105, -0.01°C,Jan-40
106, -0.18°C,Mar-39
107, -0.1°C,May-38
108, -0.04°C,Jul-37
109, -0.1°C,Sep-36
110, -0.27°C,Nov-35
111, -0.34°C,Jan-35
112, -0.3°C,Mar-34
113, -0.3°C,May-33
114, -0.25°C,Jul-32
115, -0.07°C,Sep-31
116, 0.17°C,Nov-30
117, -0.3°C,Jan-30
118, -0.34°C,Mar-29
119, -0.3°C,May-28
120, -0.2°C,Jul-27
121, -0.16°C,Sep-26
122, 0.04°C,Nov-25
123, -0.43°C,Dec-24
124, -0.24°C,Feb-24
125, -0.42°C,Apr-23
126, -0.31°C,Jun-22
127, -0.26°C,Aug-21
128, -0.28°C,Oct-20
129, -0.43°C,Dec-19
130, -0.25°C,Feb-19
131, -0.45°C,Apr-18
132, -0.44°C,Jun-17
133, -0.28°C,Aug-16
134, -0.25°C,Oct-15
135, -0.05°C,Dec-14
136, -0.1°C,Feb-14
137, -0.4°C,Apr-13
138, -0.24°C,Jun-12
139, -0.44°C,Aug-11
140, -0.42°C,Oct-10
141, -0.32°C,Nov-09
142, -0.73°C,Jan-09
143, -0.56°C,Mar-08
144, -0.47°C,May-07
145, -0.24°C,Jul-06
146, -0.2°C,Sep-05
147, -0.18°C,Nov-04
148, -0.64°C,Jan-04
149, -0.23°C,Mar-03
150, -0.32°C,May-02
151, -0.15°C,Jul-01
152, -0.05°C,Sep-00
153, 0.12°C,November 1899
154, -0.16°C,January 1899
155, -0.5°C,March 1898
156, -0.02°C,May 1897
157, -0.02°C,July 1896
158, -0.12°C,September 1895
159, -0.22°C,October 1894
160, -0.32°C,December 1893
161, -0.56°C,February 1893
162, -0.33°C,April 1892
163, -0.2°C,June 1891
164, -0.39°C,August 1890
165, -0.26°C,October 1889
166, -0.04°C,December 1888
167, -0.35°C,February 1888
168, -0.34°C,April 1887
169, -0.34°C,June 1886
170, -0.3°C,August 1885
171, -0.25°C,October 1884
172, -0.11°C,December 1883
173, -0.36°C,February 1883
174, -0.16°C,April 1882
175, -0.18°C,June 1881
176, -0.1°C,August 1880
177, -0.18°C,January 1880
178, -0.25°C,"January 2, 1879"
179, -0.18°C,"January 2, 1878"
180, -0.18°C,"January 2, 1877"
181, -0.16°C,"January 2, 1876"
182, -0.16°C,"January 2, 1876"
183, -0.12°C,"January 2, 1875"
184, -0.14°C,"January 2, 1874"
185, -0.15°C,"January 2, 1873"
186, -0.07°C,"January 2, 1872"
187, -0.05°C,"January 2, 1871"
188, -0.06°C,"January 2, 1870"
189, -0.06°C,"January 2, 1870"
190, -0.01°C,"January 2, 1869"
191, -0.01°C,"January 2, 1868"
192, -0.12°C,"January 2, 1867"
193, -0.26°C,"January 2, 1866"
194, -0.34°C,"January 2, 1865"
195, -0.34°C,"January 2, 1865"
196, -0.31°C,"January 2, 1864"
197, -0.26°C,"January 2, 1863"
198, -0.18°C,"January 2, 1862"
199, -0.11°C,"January 2, 1861"
200, -0.11°C,"January 2, 1860"
201, -0.11°C,"January 2, 1860"
202, -0.2°C,"January 2, 1859"
203, -0.33°C,"January 2, 1858"
204, -0.48°C,"January 2, 1857"
205, -0.44°C,"January 2, 1856"
206, -0.16°C,"January 2, 1855"
207, -0.16°C,"January 2, 1855"
208, -0.06°C,"January 2, 1854"
209, -0.16°C,"January 2, 1853"
210, -0.25°C,"January 2, 1852"
211, -0.31°C,"January 2, 1851"
212, -0.31°C,"January 2, 1850"
213, -0.31°C,"January 2, 1850"
214, -0.25°C,"January 2, 1849"
215, -0.27°C,"January 2, 1848"
216, -0.32°C,"January 2, 1847"
217, -0.39°C,"January 2, 1846"
218, -0.5°C,"January 2, 1845"
219, -0.5°C,"January 2, 1845"
220, -0.53°C,"January 2, 1844"
221, -0.5°C,"January 2, 1843"
222, -0.52°C,"January 2, 1842"
223, -0.46°C,"January 2, 1841"
224, -0.35°C,"January 2, 1840"
225, -0.32°C,"January 2, 1839"
226, -0.32°C,"January 2, 1839"
227, -0.4°C,"January 2, 1838"
