date,average,trend,averageUnc,trendUnc
1983.7,1625.4,1634.3,2.4,1.5
1983.8,1627.4,1635.0,2.9,1.4
1983.9,1638.1,1635.7,2.2,1.3
1983.10,1644.7,1636.4,1.4,1.3
1983.11,1642.3,1637.2,0.8,1.2
1983.12,1639.3,1638.1,0.9,1.1
1984.1,1638.7,1639.0,1.9,1.0
1984.2,1638.6,1639.9,2.0,0.9
1984.3,1640.5,1640.9,1.6,0.8
1984.4,1643.5,1641.9,1.9,0.8
1984.5,1642.8,1643.0,1.1,0.7
1984.6,1639.5,1644.1,0.9,0.7
1984.7,1637.7,1645.2,1.2,0.7
1984.8,1641.3,1646.4,1.6,0.6
1984.9,1650.3,1647.5,1.3,0.6
1984.10,1654.5,1648.6,1.5,0.6
1984.11,1653.6,1649.8,1.2,0.6
1984.12,1656.0,1650.9,1.2,0.6
1985.1,1655.6,1652.0,1.0,0.6
1985.2,1652.4,1653.0,1.5,0.6
1985.3,1654.7,1654.0,1.0,0.6
1985.4,1657.9,1655.0,0.8,0.6
1985.5,1655.3,1656.1,1.3,0.6
1985.6,1649.9,1657.1,1.4,0.6
1985.7,1646.8,1658.1,1.3,0.6
1985.8,1652.1,1659.1,1.3,0.6
1985.9,1662.4,1660.1,1.3,0.7
1985.10,1667.5,1661.2,1.2,0.7
1985.11,1666.8,1662.2,1.2,0.7
1985.12,1666.0,1663.2,1.0,0.7
1986.1,1666.3,1664.3,1.3,0.7
1986.2,1667.1,1665.3,1.9,0.7
1986.3,1669.3,1666.4,1.5,0.8
1986.4,1670.5,1667.5,1.5,0.8
1986.5,1668.4,1668.5,0.9,0.8
1986.6,1665.0,1669.6,1.1,0.8
1986.7,1662.3,1670.7,1.1,0.8
1986.8,1664.4,1671.8,1.7,0.8
1986.9,1672.8,1672.9,1.5,0.8
1986.10,1678.8,1674.0,1.7,0.8
1986.11,1679.0,1675.1,1.8,0.8
1986.12,1679.2,1676.2,1.1,0.8
1987.1,1679.4,1677.4,1.2,0.8
1987.2,1678.9,1678.4,1.2,0.8
1987.3,1679.9,1679.4,1.1,0.7
1987.4,1681.5,1680.5,1.1,0.7
1987.5,1682.3,1681.5,1.0,0.7
1987.6,1680.5,1682.5,1.0,0.6
1987.7,1676.1,1683.4,0.8,0.6
1987.8,1677.0,1684.4,0.8,0.5
1987.9,1685.5,1685.3,1.1,0.5
1987.10,1691.5,1686.1,1.1,0.5
1987.11,1691.3,1686.9,1.0,0.4
1987.12,1690.6,1687.7,0.9,0.4
1988.1,1692.1,1688.6,0.8,0.4
1988.2,1692.9,1689.3,0.9,0.5
1988.3,1691.7,1690.1,1.1,0.5
1988.4,1690.1,1690.9,1.0,0.5
1988.5,1688.7,1691.7,1.0,0.5
1988.6,1686.7,1692.6,1.2,0.6
1988.7,1685.6,1693.4,1.0,0.6
1988.8,1689.1,1694.3,1.1,0.6
1988.9,1696.0,1695.3,1.1,0.6
1988.10,1701.1,1696.2,1.1,0.6
1988.11,1702.7,1697.2,1.2,0.6
1988.12,1701.8,1698.2,1.1,0.6
1989.1,1700.6,1699.3,1.0,0.6
1989.2,1701.2,1700.3,1.2,0.6
1989.3,1702.5,1701.3,1.5,0.6
1989.4,1703.4,1702.3,1.1,0.6
1989.5,1703.2,1703.3,0.5,0.5
1989.6,1700.2,1704.3,0.9,0.5
1989.7,1698.3,1705.3,0.9,0.5
1989.8,1702.0,1706.2,1.0,0.5
1989.9,1707.3,1707.1,1.0,0.5
1989.10,1710.6,1708.0,1.0,0.5
1989.11,1712.9,1708.8,0.9,0.5
1989.12,1713.1,1709.7,1.0,0.6
1990.1,1712.2,1710.4,1.2,0.6
1990.2,1713.5,1711.2,1.3,0.6
1990.3,1714.4,1711.8,1.2,0.6
1990.4,1712.7,1712.5,1.1,0.6
1990.5,1710.7,1713.2,1.0,0.7
1990.6,1708.4,1713.9,0.9,0.7
1990.7,1706.5,1714.5,0.8,0.7
