date,average,trend,averageUnc,trendUnc
2001.3,316.2,316.2,0.2,0.1
2001.4,316.1,316.2,0.1,0.1
2001.5,316.1,316.3,0.1,0.1
2001.6,316.2,316.3,0.1,0.1
2001.7,316.2,316.4,0.1,0.1
2001.8,316.3,316.5,0.1,0.1
2001.9,316.4,316.5,0.1,0.1
2001.10,316.6,316.6,0.2,0.1
2001.11,316.8,316.6,0.2,0.1
2001.12,316.9,316.7,0.2,0.1
2002.1,316.9,316.7,0.2,0.1
2002.2,317.0,316.8,0.2,0.1
2002.3,317.0,316.8,0.2,0.1
2002.4,316.9,316.8,0.2,0.1
2002.5,316.9,316.9,0.2,0.1
2002.6,316.8,316.9,0.2,0.1
2002.7,316.8,317.0,0.2,0.2
2002.8,316.8,317.0,0.2,0.2
2002.9,316.9,317.0,0.2,0.2
2002.10,317.0,317.1,0.2,0.2
2002.11,317.1,317.1,0.2,0.2
2002.12,317.2,317.2,0.2,0.2
2003.1,317.3,317.2,0.2,0.2
2003.2,317.3,317.3,0.2,0.1
2003.3,317.4,317.4,0.2,0.1
2003.4,317.5,317.4,0.2,0.1
2003.5,317.5,317.5,0.1,0.1
2003.6,317.5,317.6,0.1,0.1
2003.7,317.6,317.7,0.1,0.1
2003.8,317.6,317.7,0.1,0.1
2003.9,317.8,317.8,0.1,0.1
2003.10,317.9,317.9,0.1,0.1
2003.11,318.0,317.9,0.1,0.1
2003.12,318.1,318.0,0.1,0.1
2004.1,318.2,318.0,0.1,0.1
2004.2,318.2,318.1,0.1,0.1
2004.3,318.2,318.1,0.1,0.1
2004.4,318.1,318.2,0.1,0.1
2004.5,318.1,318.2,0.1,0.1
2004.6,318.1,318.3,0.1,0.1
2004.7,318.1,318.3,0.1,0.1
2004.8,318.2,318.3,0.1,0.1
2004.9,318.2,318.4,0.1,0.1
2004.10,318.3,318.4,0.1,0.1
2004.11,318.6,318.5,0.1,0.1
2004.12,318.8,318.5,0.1,0.1
2005.1,318.9,318.6,0.1,0.1
2005.2,318.9,318.6,0.1,0.1
2005.3,318.9,318.7,0.1,0.1
2005.4,318.8,318.7,0.1,0.1
2005.5,318.7,318.8,0.1,0.1
2005.6,318.6,318.9,0.1,0.1
2005.7,318.7,319.0,0.1,0.1
2005.8,318.8,319.0,0.1,0.1
2005.9,318.9,319.1,0.1,0.1
2005.10,319.1,319.2,0.1,0.1
2005.11,319.4,319.3,0.1,0.1
2005.12,319.6,319.4,0.1,0.1
2006.1,319.7,319.4,0.1,0.1
2006.2,319.8,319.5,0.1,0.1
2006.3,319.8,319.6,0.1,0.1
2006.4,319.7,319.7,0.1,0.1
2006.5,319.7,319.7,0.1,0.1
2006.6,319.7,319.8,0.1,0.1
2006.7,319.6,319.8,0.1,0.1
2006.8,319.7,319.9,0.1,0.1
2006.9,319.8,319.9,0.1,0.1
2006.10,320.0,320.0,0.1,0.1
2006.11,320.1,320.0,0.1,0.1
2006.12,320.3,320.1,0.1,0.1
2007.1,320.4,320.1,0.1,0.1
2007.2,320.4,320.2,0.1,0.1
2007.3,320.3,320.2,0.1,0.1
2007.4,320.2,320.3,0.1,0.1
2007.5,320.2,320.3,0.1,0.1
2007.6,320.3,320.4,0.1,0.1
2007.7,320.2,320.5,0.1,0.1
2007.8,320.2,320.6,0.1,0.1
2007.9,320.5,320.7,0.1,0.1
2007.10,320.7,320.8,0.1,0.1
2007.11,321.0,320.9,0.1,0.1
2007.12,321.2,321.0,0.1,0.1
2008.1,321.3,321.1,0.1,0.1
2008.2,321.4,321.1,0.1,0.1
2008.3,321.4,321.2,0.1,0.1
2008.4,321.4,321.3,0.1,0.1
2008.5,321.4,321.4,0.2,0.1
2008.6,321.5,321.5,0.2,0.2
2008.7,321.4,321.6,0.2,0.2
2008.8,321.4,321.6,0.2,0.2
2008.9,321.5,321.7,0.2,0.2
2008.10,321.6,321.8,0.2,0.2
2008.11,321.8,321.8,0.2,0.2
2008.12,322.0,321.9,0.2,0.2
2009.1,322.2,321.9,0.2,0.2
2009.2,322.3,322.0,0.2,0.2
2009.3,322.3,322.0,0.2,0.1
2009.4,322.1,322.1,0.2,0.1
2009.5,322.0,322.2,0.2,0.1
2009.6,322.0,322.2,0.2,0.1
2009.7,322.0,322.3,0.2,0.1
2009.8,322.1,322.3,0.2,0.1
2009.9,322.3,322.4,0.1,0.1
2009.10,322.5,322.5,0.1,0.1
2009.11,322.7,322.6,0.2,0.1
2009.12,322.8,322.6,0.2,0.1
2010.1,322.9,322.7,0.2,0.1
